;Meses;Autoridad_Portuaria;Graneles Líquidos t;Graneles Sólidos t;Mercancía General t;Mercancia General Contenedores t;Pesca t;Avituallamiento t;Avituallamiento De Combustibles Líquidos t;Tráfico Interior t;Mercancías En Tránsito t;Mercancías En Tránsito En Contenedores t;Tráfico Ro-Ro t;UTIS Ro-Ro;TEUS Contenedores;TEUS Contenedores En Tránsito;TEUS Contenedores Entrada-Salida Nacional;TEUS Contenedores Entrada-Salida Exterior;Unidades Buques Mercantes;G.T. Buques Mercantes;Unidades Buques De Crucero;Pasajeros En Régimen De Transporte Y De Crucero;Pasajeros En Régimen De Transporte;Pasajeros De Crucero;Automóviles En Régimen De Pasaje;Automóviles En Régimen De Mercancía
109;Abril;Valencia;384057;113181;5844924;4648894;163.779;32393;28519;0;2713698;2664036;1038283;38060;401270.0;200353.0;17837.0;183080.0;610;23530608;25;114147;67455;46692;16956;51340
110;Abril;Vigo;0;28945;383295;240469;2697.837;6516;700;0;39004;33308;106952;818;19796.0;2610.0;726.0;16460.0;145;3893801;10;20740;0;20740;0;56851
111;Abril;Vilagarcía;22361;72899;62424;21351;0.0;910;322;0;0;0;0;0;2502.25;0.0;2384.25;118.0;34;317065;2;783;0;783;0;4
112;Mayo;A Coruña;513336;525673;57016;0;2264.733;3683;2907;0;168728;0;0;0;0.0;0.0;0.0;0.0;100;2836963;19;40941;0;40941;0;0
113;Mayo;Alicante;4012;128304;96773;88036;0.0;2586;109;0;3912;3912;242;0;14199.5;418.5;12284.75;1496.25;64;1344115;12;28730;9810;18920;2703;111
114;Mayo;Almería;0;256630;137426;17740;366.687;7076;3860;0;0;0;82356;4069;1114.0;0.0;293.0;821.0;135;2285247;1;30908;30804;104;9726;257
115;Mayo;Avilés;53259;279561;89738;0;672.0620000000001;4421;1151;0;0;0;0;0;0.0;0.0;0.0;0.0;77;594362;0;0;0;0;0;0
116;Mayo;Bahía de Algeciras;2001487;45574;6280361;4890511;62.445;314701;298883;314883;5342726;4332470;1380785;46878;405417.0;334331.0;4.0;71082.0;2431;45261681;0;313584;313584;0;60695;294
117;Mayo;Bahía de Cádiz;26516;223792;196731;139754;1248.473;18457;2708;0;71822;22247;68926;2133;18907.5;2025.75;13678.75;3203.0;147;4012680;37;62165;2325;59840;1447;2123
118;Mayo;Baleares;204976;47427;1396260;35455;130.514;15652;190;411;1444;0;1384296;66725;9188.0;0.0;9186.0;2.0;5022;29651277;111;936585;627425;309160;100951;13779
119;Mayo;Barcelona;1184355;481826;4167091;3072908;233.404;155767;126799;0;2029746;1459202;1109217;40507;301353.0;123908.5;19185.5;158259.0;793;36662340;116;551681;115112;436569;31727;71083
120;Mayo;Bilbao;1738297;376555;790460;490435;0.0;12581;6668;0;7324;6678;90196;3550;47546.75;777.5;2903.5;43865.75;264;5645766;19;34805;12306;22499;6439;20216
121;Mayo;Cartagena;1961235;484774;77701;56430;0.0;15797;1083;0;55730;96;0;0;3812.0;48.0;502.0;3262.0;172;3795597;19;19050;1885;17165;0;0
122;Mayo;Castellón;785023;663026;108813;106356;254.238;3147;0;0;1941;1941;16705;0;7431.0;167.0;497.0;6767.0;121;1733008;0;0;0;0;0;43
123;Mayo;Ceuta;5149;500;49246;6108;0.0;65538;63995;0;0;0;48791;2948;516.0;0.0;516.0;0.0;832;6130827;1;136212;133784;2428;31546;89
124;Mayo;Ferrol-San Cibrao;264099;294206;84878;27822;26.07;679;437;0;63280;0;938;0;2093.75;0.0;522.75;1571.0;89;1372104;3;865;0;865;0;0
125;Mayo;Gijón;7816;1472164;121246;73267;1261.347;0;0;0;750447;213;0;0;5144.0;69.0;382.0;4693.0;100;1785542;7;4130;0;4130;0;0
126;Mayo;Huelva;2318535;353941;103620;42969;19.252;18665;15014;13394;266201;0;50645;2585;6019.25;0.0;5327.25;692.0;181;3874264;4;5247;4704;543;2974;2104
127;Mayo;Las Palmas;605260;36644;1563260;1158175;89.25500000000001;216210;193700;0;1086896;790312;391521;27529;98966.0;49854.0;42927.0;6185.0;1003;19602931;19;142548;124320;18228;54566;25735
128;Mayo;Málaga;5706;81612;86719;27838;17.895;9273;3125;0;1060;124;60227;3368;2906.25;60.0;791.25;2055.0;168;6079227;44;82844;16287;66557;3573;5363
129;Mayo;Marín y Ría de Pontevedra;0;37180;103517;54874;218.123;3503;1503;0;491;491;0;0;4606.0;32.0;146.0;4428.0;46;266471;0;0;0;0;0;0
130;Mayo;Melilla;4667;5013;40110;4477;0.0;17;0;0;0;0;40110;2778;615.0;0.0;608.0;7.0;103;2913504;3;26886;25585;1301;5961;192
131;Mayo;Motril;104830;93708;56042;365;72.944;2411;1660;0;3050;0;52533;1967;60.0;0.0;0.0;60.0;85;1489190;2;9853;5462;4391;1552;8
132;Mayo;Pasaia;0;119979;235774;0;1869.976;2267;717;0;2454;0;71434;405;0.0;0.0;0.0;0.0;89;789142;2;249;0;249;0;29574
133;Mayo;Santa Cruz de Tenerife;260770;16148;652128;306559;370.593;43008;41842;147;41517;39412;363825;26410;40850.0;6336.0;31155.0;3359.0;1326;14000403;10;433899;424990;8909;142057;7905
134;Mayo;Santander;24971;338610;266635;48767;328.103;4468;2630;0;4571;0;220460;5471;4714.5;0.0;1436.5;3278.0;151;3073834;3;26942;23229;3713;11969;48365
135;Mayo;Sevilla;61179;152907;137948;86797;0.0;2871;1001;0;0;0;15192;752;12265.5;0.0;12158.5;107.0;84;462623;9;2428;0;2428;0;707
136;Mayo;Tarragona;1668950;615372;164211;28598;130.257;13184;4610;0;96492;512;35585;0;3466.25;224.0;826.25;2416.0;203;4387676;10;17062;0;17062;0;24453
137;Mayo;Valencia;410805;256861;6569611;5116458;81.49900000000001;34781;30212;0;2948795;2924229;1262429;46600;453138.0;232437.0;17261.0;203440.0;576;24249595;39;157163;53497;103666;13754;50706
138;Mayo;Vigo;6000;36533;416326;242622;2814.6;7199;1;0;23241;11885;125660;1101;19483.0;941.0;991.0;17551.0;185;4213924;13;17751;0;17751;0;62234
