,Autoridad_Portuaria,Graneles Líquidos t,Graneles Sólidos t,Mercancía General t,Mercancia General Contenedores t,Mercancías En Tránsito t,Tráfico Ro-Ro t,TEUS Contenedores,Total_pasajeros,Anios,Mes,fecha,Total_buques,Total_automoviles,Total_toneladas
230,7,154086,23745,1166806,30645,1078,1152237,8081.0,1102425,2022,9,2022-09-01,59628,133743,2528597
231,8,875928,296376,4027726,3003370,1677474,1065206,288514.5,482351,2022,9,2022-09-01,35715,107030,10946080
232,9,1582782,316903,658228,407663,7771,88139,37875.75,30552,2022,9,2022-09-01,3594,24238,3061486
233,10,2019662,725420,100671,51672,506,0,5238.75,18543,2022,9,2022-09-01,173,0,2897931
234,11,744873,735620,100255,95902,1040,19904,7601.0,0,2022,9,2022-09-01,123,47,1697594
235,12,30677,0,58665,5519,0,58398,434.0,177329,2022,9,2022-09-01,4019,43266,153259
236,13,355382,531274,87613,36699,72707,3612,2899.5,5850,2022,9,2022-09-01,114,1,1087287
237,14,48793,1404435,89887,50068,341870,0,3534.0,1914,2022,9,2022-09-01,113,0,1935053
238,15,1936075,432016,95407,43876,138771,39154,6606.5,7275,2022,9,2022-09-01,2359,4298,2685299
239,16,557997,31311,1529344,1111085,1026307,402622,95895.0,185128,2022,9,2022-09-01,29794,114713,4658666
240,17,9629,134332,188765,153008,125454,39400,13613.0,61303,2022,9,2022-09-01,2404,10421,650588
241,18,0,76590,69231,46436,112,0,4351.5,0,2022,9,2022-09-01,33,0,192369
242,19,6732,6608,38263,3704,0,38263,492.0,64703,2022,9,2022-09-01,2589,13858,93570
243,20,133804,37570,5110,0,3007,2263,0.0,14566,2022,9,2022-09-01,189,3009,181754
244,21,0,110335,187549,0,0,55123,0.0,299,2022,9,2022-09-01,357,21757,353007
245,22,349990,48734,646181,323126,49577,343852,41396.0,457509,2022,9,2022-09-01,27054,157369,1761460
246,23,7000,326027,222111,25736,2014,185488,2200.75,34476,2022,9,2022-09-01,4708,52438,768376
247,24,10496,158635,147992,85090,0,13920,11694.25,2932,2022,9,2022-09-01,846,342,416133
248,25,1351235,733884,137791,31387,111804,31068,4476.75,13931,2022,9,2022-09-01,870,11873,2397169
249,26,500040,152325,5513357,4330601,2434195,1078298,403843.0,164410,2022,9,2022-09-01,40333,63767,14008816
250,27,701,16065,341153,198898,32628,94138,16716.0,32061,2022,9,2022-09-01,1103,46565,683583
251,28,5929,24915,57464,20178,0,0,2436.5,621,2022,9,2022-09-01,29,6,108486
252,1,750137,572948,61928,14,159949,0,2.0,46822,2022,10,2022-10-01,142,0,1544976
253,2,7,126422,125217,120329,0,253,20006.75,32641,2022,10,2022-10-01,74,4746,372228
254,3,16631,372818,98523,19422,8,50567,1180.5,29919,2022,10,2022-10-01,3146,8657,557969
255,4,46839,188955,61969,0,0,0,0.0,0,2022,10,2022-10-01,61,0,297763
256,5,2434489,27828,6350700,5097325,5633242,1237120,424520.0,294705,2022,10,2022-10-01,41414,61978,20780704
257,6,124336,204653,171449,122736,144924,67861,17710.25,68395,2022,10,2022-10-01,2278,1757,835959
258,7,162312,28457,1089153,26861,1273,1073333,7159.0,818857,2022,10,2022-10-01,54657,109379,2381389
259,8,1081988,398438,3879036,2925871,1751477,972917,273587.0,464069,2022,10,2022-10-01,35124,92984,11009727
260,9,1933887,302893,744999,557355,9469,97460,43041.5,28255,2022,10,2022-10-01,3797,26619,3646063
261,10,2171461,701853,68488,45485,11,0,3254.25,26410,2022,10,2022-10-01,217,0,2987298
262,11,989077,527458,88968,80156,689,14462,5153.0,0,2022,10,2022-10-01,142,2,1700810
263,12,93536,0,47330,5978,0,46875,481.0,131559,2022,10,2022-10-01,3612,30344,193719
264,13,379158,416694,94445,58933,26943,1482,5016.0,2331,2022,10,2022-10-01,101,410,977655
